District,ac_no,ac_name,Winner Candidate 2014,Winner Party 2014,Winner Votes,Runner Up Candidate 2014,Runner Up Party 2014,Runner Up Votes 2014,Margin 2014,Turnout(%) 2019,Winner Candidate 2019,Winner Party 2019,Winner Votes 2019,Runner Up Candidate 2019,Runner Up Party 2019,Runner Up Votes 2019,Margin 2019,Status
Krishna,190,Gannavaram,Vallabhaneni Vamsi Mohan,Telugu Desam Party,99163,Dutta Ramachandrarao,YSR Congress Party,89615,9548,85.29,Vallabhaneni Vamsi Mohan,Telugu Desam Party,103881,Yarlagadda Venkatrao,YSR Congress Party,103043,838,Telugu Desam Party Hold
Krishna,191,Gudivada,Kodali Sri Venkateswara Rao,YSR Congress Party,81298,Raavi Venkateswara Rao,Telugu Desam Party,69761,11537,80.2,Kodali Sri Venkateswara Rao,YSR Congress Party,89833,Devineni Avinash,Telugu Desam Party,70354,19479,YSR Congress Party Hold
Krishna,192,Kaikalur,Kamineni Srinivas,Bharatiya Janata Party,88092,Rama Prasad Uppala,Yekikrutha Sankshema Rashtriya Praja Party,66521,21571,88.05,Dulam Nageswara Rao,YSR Congress Party,82128,Jayamangala Venkata Ramana,Telugu Desam Party,72771,9357,Bharatiya Janata Party -->  YSR Congress Party
Krishna,193,Pedana,Kagitha Venkat Rao,Telugu Desam Party,71779,Buragadda Vedavyas,YSR Congress Party,58085,13694,86.92,Jogi Ramesh,YSR Congress Party,61920,Kagitha Krishnaprasad,Telugu Desam Party,54081,7839,Telugu Desam Party -->  YSR Congress Party
Krishna,194,Machilipatnam,Kollu Ravindra,Telugu Desam Party,75209,Perni Venkataramaiah,YSR Congress Party,59403,15806,79.39,Perni Venkataramaiah,YSR Congress Party,66141,Kollu Ravindra,Telugu Desam Party,60290,5851,Telugu Desam Party -->  YSR Congress Party
Krishna,195,Avanigadda,Mandali Buddha Prasad,Telugu Desam Party,80995,Ramesh Babu Simhadri,YSR Congress Party,75037,5958,88.11,Ramesh Babu Simhadri,YSR Congress Party,78447,Mandali Buddha Prasad,Telugu Desam Party,57722,20725,Telugu Desam Party -->  YSR Congress Party
Krishna,196,Pamarru (SC),Uppuleti Kalpana,YSR Congress Party,69546,Varla Ramaiah,Telugu Desam Party,68477,1069,87.44,Anil Kumar Kaile,YSR Congress Party,88547,Uppuleti Kalpana,Telugu Desam Party,57674,30873,YSR Congress Party Hold
Krishna,197,Penamaluru,Bode Prasad,Telugu Desam Party,102330,Kukkala Vidyasagar,YSR Congress Party,70882,31448,79.9,Kolusu Parthasarathy,YSR Congress Party,101485,Bode Prasad,Telugu Desam Party,90168,11317,Telugu Desam Party -->  YSR Congress Party
Krishna,198,Vijayawada West,Jaleel Khan,YSR Congress Party,63180,Vellampalli Srinivas,Bharatiya Janata Party,60072,3108,67.55,Vellampalli Srinivas,YSR Congress Party,58435,Shabana Musarat Khatoon,Telugu Desam Party,50764,7671,YSR Congress Party Hold
Krishna,199,Vijayawada Central,Bonda Umamaheswara Rao,Telugu Desam Party,82669,Gowtham Reddy Punuru,YSR Congress Party,55508,27161,65.78,Malladi Vishnu,YSR Congress Party,70721,Bonda Umamaheswara Rao,Telugu Desam Party,70696,25,Telugu Desam Party -->  YSR Congress Party
